gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2573419980	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011675.jpg											
2573419971	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012665.jpg											
2573419969	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012962.jpg											
2573419952	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011774.jpg											
2573419942	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014018.jpg											
2573419934	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011709.jpg											
2573419923	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014711.jpg											
2573419911	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011808.jpg											
2573419893	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012574.jpg											
2573419865	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012582.jpg											
2573419850	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013440.jpg											
2573419834	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012210.jpg											
2573419833	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012756.jpg											
2573419828	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014497.jpg											
2573419825	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014752.jpg											
2573419805	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01007/01007798.jpg											
2573419793	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013036.jpg											
2573419790	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011683.jpg											
2573419730	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013465.jpg											
2573419713	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013093.jpg											
2573419679	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011741.jpg											
2573419668	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011782.jpg											
2573419614	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011279.jpg											
2573419604	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014463.jpg											
2573419579	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013531.jpg											
2573419578	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011717.jpg											
2573419568	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01007/01007780.jpg											
2573419538	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011766.jpg											
2573419508	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011220.jpg											
2573419479	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014505.jpg											
2573419477	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012939.jpg											
2573419456	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011212.jpg											
2573419454	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01003/01003656.jpg											
2573419444	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013580.jpg											
2573419317	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011311.jpg											
2573419213	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014802.jpg											
2573419184	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011329.jpg											
2573419149	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013051.jpg											
2573419119	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013044.jpg											
2573419106	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011204.jpg											
2573419094	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013085.jpg											
2573419072	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013143.jpg											
2573419068	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013549.jpg											
2573419047	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013135.jpg											
2573419039	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011261.jpg											
2573419024	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013523.jpg											
2573418994	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011758.jpg											
2573418967	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013424.jpg											
2573418929	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011691.jpg											
2573418915	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01003/01003649.jpg											
2573418874	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014653.jpg											
2573418871	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012624.jpg											
2573418869	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014745.jpg											
2573418829	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014034.jpg											
2573418803	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013127.jpg											
2573418751	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013101.jpg											
2573418696	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01014/01014794.jpg											
2573418683	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01013/01013457.jpg											
2573418663	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01012/01012863.jpg											
2573418604	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01011/01011253.jpg											
2573418552	StillImage	image/jpeg	https://botanydb.colorado.edu/COLO_V/01007/01007749.jpg											
